,instance_name,damodaran_min,damodaran_mean,DA_time
280,200J_10p_5m_5%_20s-1.dzn,121,130.5,48.94787617524465
281,200J_10p_5m_5%_20s-2.dzn,150,158.5,49.82628993193308
282,200J_10p_5m_5%_20s-3.dzn,133,142.33333333333334,47.20787835121155
283,200J_10p_5m_5%_20s-4.dzn,143,152.66666666666666,46.4000518321991
284,200J_10p_5m_5%_20s-5.dzn,136,145.66666666666666,47.449679692586265
285,200J_10p_5m_5%_5s-1.dzn,61,62.833333333333336,46.07422665754954
286,200J_10p_5m_5%_5s-2.dzn,63,65.83333333333333,46.02110505104065
287,200J_10p_5m_5%_5s-3.dzn,61,63.0,45.84913384914398
288,200J_10p_5m_5%_5s-4.dzn,62,64.0,46.87613447507223
289,200J_10p_5m_5%_5s-5.dzn,64,65.33333333333333,47.91954572995504
290,200J_10p_5m_50%_20s-1.dzn,527,527.1666666666666,44.3117706378301
291,200J_10p_5m_50%_20s-2.dzn,535,535.3333333333334,45.27840022246043
292,200J_10p_5m_50%_20s-3.dzn,558,558.0,44.88159374396006
293,200J_10p_5m_50%_20s-4.dzn,510,511.0,46.6699101527532
294,200J_10p_5m_50%_20s-5.dzn,549,549.6666666666666,42.22617236773173
295,200J_10p_5m_50%_5s-1.dzn,575,575.0,45.59624767303467
296,200J_10p_5m_50%_5s-2.dzn,574,574.0,47.82712880770365
297,200J_10p_5m_50%_5s-3.dzn,570,570.5,45.974458734194435
298,200J_10p_5m_50%_5s-4.dzn,538,538.1666666666666,44.49129935105642
299,200J_10p_5m_50%_5s-5.dzn,574,574.0,45.765564481417336
300,200J_30p_3m_10%_20s-1.dzn,695,738.1666666666666,42.95292349656423
301,200J_30p_3m_10%_20s-2.dzn,638,693.6666666666666,44.166552702585854
302,200J_30p_3m_10%_20s-3.dzn,650,699.0,44.05905544757843
303,200J_30p_3m_10%_20s-4.dzn,665,714.5,46.236012856165566
304,200J_30p_3m_10%_20s-5.dzn,611,661.0,45.24238316218058
305,200J_30p_3m_10%_5s-1.dzn,334,338.8333333333333,43.05402076244354
306,200J_30p_3m_10%_5s-2.dzn,324,332.8333333333333,44.96542100111643
307,200J_30p_3m_10%_5s-3.dzn,354,364.5,43.64917699495951
308,200J_30p_3m_10%_5s-4.dzn,307,311.5,45.24821102619171
