,instance,total_cost,seed,normalization_constant,cost,solver
174,111,11574836,49,11602500,0.9976156862745098,R
175,81,6746,49,7500,0.8994666666666666,R
176,89,5834,43,7500,0.7778666666666667,R
177,80,13343220,44,14662500,0.9100235294117647,R
178,40,121716,49,162500,0.7490215384615385,R
179,120,2874355,51,3187500,0.9017584313725491,R
180,48,6090308,43,7043750,0.86464,R
181,41,1609,44,1750,0.9194285714285715,R
182,83,7220,43,7500,0.9626666666666667,R
183,40,121768,50,162500,0.7493415384615385,R
184,87,7170,46,7500,0.956,R
185,120,2859004,48,3187500,0.896942431372549,R
186,42,1318,43,1500,0.8786666666666667,R
187,81,6708,50,7500,0.8944,R
188,46,3459,46,3750,0.9224,R
189,37,261240,43,262500,0.9952,R
190,71,2586,48,3000,0.862,R
191,33,183155,46,231875,0.7898867924528302,R
192,79,559954,42,612500,0.914210612244898,R
193,70,3407616,45,3900000,0.8737476923076923,R
194,111,11574836,50,11602500,0.9976156862745098,R
195,35,1805707,50,2394875,0.7539879951980792,R
196,113,13092,43,15000,0.8728,R
197,117,14408,46,15000,0.9605333333333334,R
198,47,5721525,48,6462500,0.8853423597678917,R
199,46,3464,45,3750,0.9237333333333333,R
200,86,6632,48,7500,0.8842666666666666,R
201,87,7122,45,7500,0.9496,R
202,76,2938,50,3000,0.9793333333333333,R
203,117,14432,45,15000,0.9621333333333333,R
204,116,14386,48,15000,0.9590666666666666,R
205,38,140238,51,162500,0.8630030769230769,R
206,70,3441624,46,3900000,0.8824676923076923,R
207,32,568,48,750,0.7573333333333333,R
208,74,492752,43,552000,0.8926666666666667,R
209,33,172025,45,231875,0.7418867924528302,R
210,32,566,51,750,0.7546666666666667,R
211,110,3081029,47,3312500,0.9301219622641509,R
212,114,2570710,42,3187500,0.8064972549019608,R
213,34,110724,47,112500,0.9842133333333334,R
214,76,2938,49,3000,0.9793333333333333,R
215,39,701330,45,825000,0.8500969696969697,R
216,30,137436,42,146875,0.9357344680851064,R
217,116,14362,51,15000,0.9574666666666667,R
218,38,144242,48,162500,0.8876430769230769,R
219,77,2462,44,3000,0.8206666666666667,R
220,41,1574,47,1750,0.8994285714285715,R
221,86,6644,51,7500,0.8858666666666667,R
222,45,6217113,42,6641250,0.9361359683794467,R
223,80,13110966,47,14662500,0.8941835294117647,R
224,47,5669825,51,6462500,0.8773423597678917,R
225,84,17193241,42,19061250,0.9019996589940324,R
226,74,490084,42,552000,0.8878333333333334,R
227,32,554,49,750,0.7386666666666667,R
228,70,3403248,47,3900000,0.8726276923076923,R
229,33,190575,44,231875,0.8218867924528301,R
230,117,14432,44,15000,0.9621333333333333,R
231,76,2938,51,3000,0.9793333333333333,R
232,38,144398,50,162500,0.8886030769230769,R
233,116,14422,49,15000,0.9614666666666667,R
234,86,6652,49,7500,0.8869333333333334,R
235,87,7146,44,7500,0.9528,R
236,47,5708600,49,6462500,0.8833423597678917,R
237,46,3414,44,3750,0.9104,R
238,47,5733275,50,6462500,0.8871605415860735,R
239,84,17199871,43,19061250,0.9023474850809889,R
240,80,13201287,46,14662500,0.9003435294117647,R
241,86,6642,50,7500,0.8856,R
242,45,6225198,43,6641250,0.9373533596837945,R
243,41,1574,46,1750,0.8994285714285715,R
244,39,709855,44,825000,0.860430303030303,R
245,30,134522,43,146875,0.9158944680851063,R
246,76,2938,48,3000,0.9793333333333333,R
247,34,108816,46,112500,0.9672533333333333,R
248,77,2456,45,3000,0.8186666666666667,R
249,38,142058,49,162500,0.874203076923077,R
250,116,14350,50,15000,0.9566666666666667,R
251,32,578,50,750,0.7706666666666667,R
252,114,2565015,43,3187500,0.8047105882352941,R
253,110,3085640,46,3312500,0.931513962264151,R
254,87,7118,50,7500,0.9490666666666666,R
255,44,6535634,43,6900000,0.9471933333333333,R
256,40,119428,46,162500,0.7349415384615384,R
257,46,3449,50,3750,0.9197333333333333,R
258,85,6818,43,7500,0.9090666666666667,R
259,81,6794,46,7500,0.9058666666666667,R
260,33,175735,50,231875,0.7578867924528302,R
261,115,11874,43,15000,0.7916,R
262,111,11574836,46,11602500,0.9976156862745098,R
263,77,2476,48,3000,0.8253333333333334,R
264,31,1501,43,1875,0.8005333333333333,R
265,38,145022,44,162500,0.8924430769230769,R
266,35,1886851,46,2394875,0.7878703481392557,R
267,117,14420,50,15000,0.9613333333333334,R
268,39,709305,49,825000,0.8597636363636364,R
269,76,2938,45,3000,0.9793333333333333,R
270,77,2498,51,3000,0.8326666666666667,R
271,116,14386,44,15000,0.9590666666666666,R
272,117,14432,49,15000,0.9621333333333333,R
273,39,709030,50,825000,0.859430303030303,R
274,33,186865,49,231875,0.8058867924528302,R
275,75,3535476,42,3570000,0.9903294117647059,R
276,71,2586,47,3000,0.862,R
277,32,578,44,750,0.7706666666666667,R
278,46,3439,49,3750,0.9170666666666667,R
279,47,5659250,44,6462500,0.875705996131528,R
280,87,7142,49,7500,0.9522666666666667,R
281,86,6658,44,7500,0.8877333333333334,R
282,120,2868235,47,3187500,0.899838431372549,R
283,35,1891359,47,2394875,0.7897527010804322,R
284,31,1566,42,1875,0.8352,R
285,38,146374,45,162500,0.9007630769230769,R
286,77,2444,49,3000,0.8146666666666667,R
287,76,2938,44,3000,0.9793333333333333,R
288,39,714530,48,825000,0.8660969696969697,R
289,117,14408,51,15000,0.9605333333333334,R
290,33,183155,51,231875,0.7898867924528302,R
291,111,11574836,47,11602500,0.9976156862745098,R
292,115,11874,42,15000,0.7916,R
293,81,6730,47,7500,0.8973333333333333,R
294,46,3459,51,3750,0.9224,R
295,85,6780,42,7500,0.904,R
296,40,119948,47,162500,0.7381415384615385,R
297,87,7092,51,7500,0.9456,R
298,44,6501410,42,6900000,0.9422333333333334,R
299,87,7104,48,7500,0.9472,R
300,120,2854975,46,3187500,0.895678431372549,R
301,86,6626,45,7500,0.8834666666666666,R
302,46,3424,48,3750,0.9130666666666667,R
303,47,5699200,45,6462500,0.8818878143133462,R
304,71,2596,46,3000,0.8653333333333333,R
305,75,3524052,43,3570000,0.9871294117647059,R
306,33,186865,48,231875,0.8058867924528302,R
307,32,580,45,750,0.7733333333333333,R
308,116,14362,45,15000,0.9574666666666667,R
309,77,2446,50,3000,0.8153333333333334,R
310,39,704080,51,825000,0.853430303030303,R
311,117,14432,48,15000,0.9621333333333333,R
312,43,1472,43,1500,0.9813333333333333,R
313,80,13235304,50,14662500,0.9026635294117648,R
314,47,5656900,46,6462500,0.8753423597678917,R
315,120,2868847,45,3187500,0.900030431372549,R
316,82,7266,43,7500,0.9688,R
317,41,1588,50,1750,0.9074285714285715,R
318,86,6616,46,7500,0.8821333333333333,R
319,34,110724,50,112500,0.9842133333333334,R
320,112,12786,43,15000,0.8524,R
321,116,14386,46,15000,0.9590666666666666,R
322,70,3401064,48,3900000,0.8720676923076923,R
323,36,835,43,875,0.9542857142857143,R
324,32,566,46,750,0.7546666666666667,R
325,110,3072231,50,3312500,0.9274659622641509,R
326,71,2576,45,3000,0.8586666666666667,R
327,78,2394,42,3000,0.798,R
328,70,3429456,51,3900000,0.8793476923076923,R
329,111,11574836,44,11602500,0.9976156862745098,R
330,118,11380,43,15000,0.7586666666666667,R
331,110,3086117,49,3312500,0.931657962264151,R
332,34,111372,49,112500,0.9899733333333334,R
333,72,2673,42,3000,0.891,R
334,76,2938,47,3000,0.9793333333333333,R
335,35,1837263,44,2394875,0.7671644657863145,R
336,38,144502,46,162500,0.8892430769230769,R
337,41,1574,49,1750,0.8994285714285715,R
338,40,119324,44,162500,0.7343015384615384,R
339,49,37416,43,37500,0.99776,R
340,80,13288089,49,14662500,0.9062635294117647,R
341,81,6692,44,7500,0.8922666666666667,R
342,88,29159800,43,32312500,0.9024309477756286,R
343,32,590,47,750,0.7866666666666666,R
344,36,835,42,875,0.9542857142857143,R
345,70,3421344,49,3900000,0.8772676923076923,R
346,71,2594,44,3000,0.8646666666666667,R
347,78,2404,43,3000,0.8013333333333333,R
348,110,3081082,51,3312500,0.9301379622641509,R
