,instance,SA-R,seed,SA-C,instance_size
37,85,0.6218666666666667,46,0.6165333333333334,250 jobs
38,97,0.39386666666666664,42,0.3933333333333333,250 jobs
39,32,0.5173333333333333,46,0.5173333333333333,25 jobs
40,70,0.6494215384615385,50,0.6459292307692308,100 jobs
41,119,0.6493333333333333,44,0.6462666666666667,500 jobs
42,79,0.6644930612244898,48,0.6647330612244898,100 jobs
43,25,0.49207843137254903,43,0.49207843137254903,25 jobs
44,80,0.4677129411764706,47,0.46445333333333333,100 jobs
45,92,0.4231946488294314,43,0.41917591973244145,250 jobs
46,37,0.91488,47,0.91488,25 jobs
47,75,0.47699607843137254,51,0.47699607843137254,100 jobs
48,116,0.4262666666666667,47,0.428,500 jobs
49,40,0.5672738461538461,47,0.5643815384615385,25 jobs
50,52,0.5906666666666667,43,0.592,50 jobs
51,104,0.41906666666666664,43,0.41973333333333335,500 jobs
52,9,0.8280851063829787,50,0.8280851063829787,10 jobs
53,38,0.5775261538461538,44,0.5774892307692308,25 jobs
54,5,0.3974712643678161,49,0.3974712643678161,10 jobs
55,45,0.7044332015810276,46,0.7060332015810277,50 jobs
56,113,0.49506666666666665,46,0.49466666666666664,500 jobs
57,101,0.44866666666666666,42,0.44906666666666667,500 jobs
58,57,0.5477333333333333,42,0.5477333333333333,50 jobs
59,108,0.49133333333333334,50,0.48533333333333334,500 jobs
60,5,0.3974712643678161,43,0.3974712643678161,10 jobs
61,104,0.41946666666666665,49,0.4184,500 jobs
62,52,0.5906666666666667,49,0.5906666666666667,50 jobs
63,64,0.5771742424242424,45,0.5775075757575757,100 jobs
64,19,0.5304,47,0.5304,10 jobs
65,57,0.5477333333333333,48,0.5477333333333333,50 jobs
66,101,0.4493333333333333,48,0.44653333333333334,500 jobs
67,61,0.5,44,0.5028571428571429,100 jobs
68,20,0.45724933451641525,48,0.45724933451641525,10 jobs
69,97,0.3912,48,0.39013333333333333,250 jobs
70,16,0.7858823529411765,44,0.7858823529411765,10 jobs
71,25,0.49207843137254903,49,0.49207843137254903,25 jobs
72,92,0.41913311036789297,49,0.42147157190635454,250 jobs
73,13,0.6083254237288136,45,0.6083254237288136,10 jobs
74,29,0.6932363636363637,50,0.6926545454545454,25 jobs
75,79,0.6648130612244898,42,0.6648930612244898,100 jobs
76,69,0.5524246153846154,49,0.5519538461538461,100 jobs
77,109,0.4417333333333333,45,0.44026666666666664,500 jobs
78,65,0.6232448979591837,50,0.620921768707483,100 jobs
79,90,0.5609141960784314,46,0.5669389803921568,250 jobs
80,35,0.3212581032412965,42,0.31940456182472987,25 jobs
81,27,0.7880784313725491,46,0.7880784313725491,25 jobs
82,82,0.42346666666666666,42,0.42506666666666665,250 jobs
83,60,0.6448484848484849,51,0.6529858585858586,50 jobs
84,95,0.6857667565139264,47,0.6876988319856244,250 jobs
85,30,0.6079387234042554,43,0.6079387234042554,25 jobs
86,22,0.48533333333333334,47,0.48533333333333334,25 jobs
87,87,0.49173333333333336,43,0.4925333333333333,250 jobs
88,17,0.45175324675324674,51,0.45175324675324674,10 jobs
89,55,0.7631020408163265,47,0.7666938775510204,50 jobs
90,103,0.6172414117647059,47,0.6130089411764705,500 jobs
91,111,0.7163294117647059,43,0.7188862745098039,500 jobs
92,47,0.6421508704061896,43,0.6331295938104449,50 jobs
93,12,0.576,50,0.576,10 jobs
94,106,0.5614666666666667,46,0.5614666666666667,500 jobs
95,50,0.5561666666666667,46,0.54,50 jobs
96,42,0.66,42,0.66,50 jobs
97,114,0.49014588235294115,42,0.48092705882352943,500 jobs
98,28,0.47445333333333334,45,0.47445333333333334,25 jobs
99,2,0.7016666666666667,47,0.7016666666666667,10 jobs
100,71,0.528,45,0.528,100 jobs
101,47,0.6421508704061896,49,0.6331295938104449,50 jobs
102,111,0.7173725490196079,49,0.7158823529411765,500 jobs
103,7,0.8538092147955872,46,0.8538092147955872,10 jobs
104,118,0.4925333333333333,51,0.4936,500 jobs
105,74,0.6614166666666667,44,0.6590833333333334,100 jobs
106,114,0.48250039215686275,48,0.4875701960784314,500 jobs
107,42,0.66,48,0.66,50 jobs
108,8,0.8694915254237288,45,0.8694915254237288,10 jobs
109,35,0.31940456182472987,48,0.3212869147659064,25 jobs
