,instance,time_seconds_mean,total_cost_mean,time_seconds_min,total_cost_min
33,34,7.995661,0.5618860430622725,5.36506,0.5618860430622725
34,35,6.648598,0.266020621844124,3.95983,0.25352772109907806
35,36,10.747686999999999,0.32032620549049357,6.49234,0.32032620549049357
36,37,13.025546,0.8980520346779535,8.34336,0.8980520346779535
37,38,7.743943999999999,0.6953841565249138,4.74223,0.6953841565249138
38,39,9.590399000000001,0.795184633140634,5.51095,0.795184633140634
39,40,7.957038,0.6894428804526287,4.48006,0.6894428804526287
40,41,12.717704,0.243521051730829,8.61702,0.2413265711964788
41,42,18.38221,0.6252033001880823,12.1825,0.6209927719538688
42,43,12.279343,0.296115399351093,8.95118,0.296115399351093
43,44,11.951592999999999,0.29931255275433216,8.73535,0.29931255275433216
44,45,18.27121,0.6298412354482672,13.3133,0.6210628581170967
45,46,14.533724000000001,0.5386333444179154,9.18854,0.5386333444179154
46,47,16.27073,0.5525298446329161,11.2817,0.5321886930925076
47,48,15.819461999999998,0.6438369049008401,9.70042,0.6322452354497566
48,49,13.71538,0.39412442762977457,8.44503,0.39163146420433265
49,50,13.196489,0.4549966258360283,9.69229,0.42854431121900294
50,51,13.939539,0.4676952166644536,9.04645,0.4676952166644536
51,52,14.418266,0.44663028227344537,9.00693,0.4447920461017506
52,53,14.649469999999999,0.3961446019827789,9.8504,0.3909423709971873
53,54,12.522162,0.17966403839561193,7.69202,0.17826534110387385
54,55,16.14648,0.7939432166412338,10.0125,0.7894460784236991
55,56,11.26825,0.3100517725682269,6.98405,0.3100517725682269
56,57,9.71893,0.5482051850909446,7.7664,0.5458550500329628
57,58,14.234231,0.636753340920982,8.96021,0.6367533374950289
58,59,11.399681,0.4371307554219925,7.05044,0.4361157646697787
59,60,13.294188,0.657756513571113,8.29477,0.6498029863859452
60,61,21.07667,0.24767511718237206,13.741,0.23430873881976735
61,62,26.50943,0.46783671296195867,20.1664,0.46065564860379266
62,63,21.025,0.19056706528712247,14.6556,0.18288618414465377
63,64,22.508029999999998,0.401935364727349,16.1901,0.37866936870817064
64,65,38.81484,0.6491470840119964,28.391,0.6387494863732474
65,66,35.98163,0.7094346827087915,25.3226,0.7062878290226292
66,67,19.62942,0.2112296288678112,13.4721,0.21086626561754612
67,68,50.01153,0.7466048247190702,30.9266,0.7466048221489184
68,69,26.04719,0.45375939497099543,14.2147,0.4452082938366863
69,70,31.22428,0.7370352246515419,22.3134,0.7331170760715553
70,71,18.59947,0.2929315160014257,13.3856,0.2929315160014257
71,72,16.32377,0.24118133370774544,13.0083,0.24118133370774542
72,73,26.73549,0.5963802838576513,18.9194,0.5908511698164534
73,74,26.28745,0.6379802811317166,19.1873,0.6311977464155528
74,75,17.71956,0.16584322435294485,12.3791,0.16584322435294485
75,76,24.96532,0.47718308958067224,16.9618,0.4771830895806723
76,77,17.54049,0.24419049928595754,11.9321,0.2397089661568513
77,78,17.26133,0.25777141036057516,11.4798,0.2476638487549653
78,79,23.52608,0.590647845197668,15.1291,0.5897789981282802
79,80,18.03758,0.2764301933524587,11.7381,0.27642980509927667
80,81,56.68972,0.16069278447186583,44.6259,0.159015207250924
81,82,61.79562,0.08429307290752691,39.8534,0.08017370987806823
82,83,84.45935999999999,0.616358364602577,59.6667,0.6102589671643622
83,84,82.67765,0.627773189664436,64.5134,0.6229403010886855
84,85,91.4161,0.5948508606860184,66.262,0.5840687996095318
85,86,70.51277999999999,0.5970541355733315,55.3463,0.5921487366454882
86,87,50.58457,0.29701309825583366,36.4186,0.2912666130313146
87,88,55.59311,0.1983447322587409,36.0475,0.18882439522579425
88,89,66.32070999999999,0.17841800194989282,42.7246,0.17841800194989282
89,90,67.56707,0.40642100079642807,46.5286,0.3881996912471967
90,91,48.34684,0.24034825888714959,35.731,0.2339155091142096
91,92,45.2891,0.0851227918696442,32.8499,0.07690293573139638
92,93,51.73213,0.1524878801176082,34.5878,0.14509191119424333
93,94,67.83054,0.5903686716393381,56.6217,0.5847760447289267
94,95,66.37682,0.6240766340492601,49.6737,0.6207276171800361
